dataset_label,file_family,field_pair,flag,definition,numerator,denominator,rate,status
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,unobserved_direction,direction not directly observed,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,suspiciously_short_KO,KO <2 codepoints,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,suspiciously_short_EN,EN <2 codepoints,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,suspiciously_long_KO,KO >1000 codepoints,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,suspiciously_long_EN,EN >1000 codepoints,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_NFKC_change,aggregate Unicode/preprocessing indicator; not official pipeline evidence,59,1200307,4.9154091411613865e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_digit_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,87748,1200307,0.07310463073197107,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_email,aggregate Unicode/preprocessing indicator; not official pipeline evidence,72,1200307,5.9984653926037255e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_emoji_symbol_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,269,1200307,0.00022410933202922254,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_latin_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,1200307,1200307,1.0,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_phone,aggregate Unicode/preprocessing indicator; not official pipeline evidence,470,1200307,0.0003915664909060765,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_punctuation_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,1200292,1200307,0.9999875031970987,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_punctuation_normalization_indicator,aggregate Unicode/preprocessing indicator; not official pipeline evidence,2,1200307,1.666240386834368e-06,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_url,aggregate Unicode/preprocessing indicator; not official pipeline evidence,16,1200307,1.3329923094674945e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,EN_zero_width,aggregate Unicode/preprocessing indicator; not official pipeline evidence,45,1200307,3.749040870377329e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_NFKC_change,aggregate Unicode/preprocessing indicator; not official pipeline evidence,243,1200307,0.00020244820700037573,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_digit_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,117743,1200307,0.0980940709335195,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_email,aggregate Unicode/preprocessing indicator; not official pipeline evidence,6,1200307,4.998721160503104e-06,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_emoji_symbol_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,270,1200307,0.0002249424522226397,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_jamo_or_decomposed,aggregate Unicode/preprocessing indicator; not official pipeline evidence,135,1200307,0.00011247122611131985,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_latin_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,107706,1200307,0.08973204355219123,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_non_NFC,aggregate Unicode/preprocessing indicator; not official pipeline evidence,12,1200307,9.997442321006209e-06,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_phone,aggregate Unicode/preprocessing indicator; not official pipeline evidence,465,1200307,0.0003874008899389906,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_punctuation_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,1200307,1200307,1.0,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_punctuation_normalization_indicator,aggregate Unicode/preprocessing indicator; not official pipeline evidence,2,1200307,1.666240386834368e-06,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,KO_url,aggregate Unicode/preprocessing indicator; not official pipeline evidence,16,1200307,1.3329923094674945e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,missing_KO,KO is null,0,1200000,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,missing_EN,EN is null,0,1200000,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,empty_KO,KO empty or whitespace,0,1200000,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,empty_EN,EN empty or whitespace,0,1200000,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,language_mismatch,KO Hangul or EN Latin dominance below 0.5,6134,1200000,0.005111666666666666,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,high_digit_ratio_KO,KO digit ratio >0.20,7828,1200000,0.006523333333333333,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,high_digit_ratio_EN,EN digit ratio >0.20,3410,1200000,0.002841666666666667,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,high_punctuation_ratio_KO,KO punctuation ratio >0.20,78022,1200000,0.06501833333333333,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,high_punctuation_ratio_EN,EN punctuation ratio >0.20,23696,1200000,0.019746666666666666,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,extreme_codepoint_length_ratio,KO/EN codepoint ratio <0.20 or >5.00,1868,1200000,0.0015566666666666667,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,extreme_byte_length_ratio,KO/EN byte ratio <0.20 or >5.00,263,1200000,0.00021916666666666666,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,duplicate_candidate_pair,salted within-run KO+EN hash repeated,117954,1200000,0.098295,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,one_to_many_indicator,distinct KO hashes linked to multiple EN hashes,12354,1200000,0.010295,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,many_to_one_indicator,distinct EN hashes linked to multiple KO hashes,27898,1200000,0.023248333333333333,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,unobserved_direction,direction not directly observed,0,1200000,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,suspiciously_short_KO,KO <2 codepoints,5,1200000,4.166666666666667e-06,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,suspiciously_short_EN,EN <2 codepoints,30,1200000,2.5e-05,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,suspiciously_long_KO,KO >1000 codepoints,0,1200000,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,suspiciously_long_EN,EN >1000 codepoints,0,1200000,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_NFKC_change,aggregate Unicode/preprocessing indicator; not official pipeline evidence,2060,1200000,0.0017166666666666667,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_bracket_placeholder,aggregate Unicode/preprocessing indicator; not official pipeline evidence,48,1200000,4e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_digit_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,102211,1200000,0.08517583333333334,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_email,aggregate Unicode/preprocessing indicator; not official pipeline evidence,254,1200000,0.00021166666666666667,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_emoji_symbol_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,444,1200000,0.00037,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_jamo_or_decomposed,aggregate Unicode/preprocessing indicator; not official pipeline evidence,78,1200000,6.5e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_latin_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,1198639,1200000,0.9988658333333333,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_markup,aggregate Unicode/preprocessing indicator; not official pipeline evidence,31,1200000,2.5833333333333332e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_non_NFC,aggregate Unicode/preprocessing indicator; not official pipeline evidence,65,1200000,5.4166666666666664e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_phone,aggregate Unicode/preprocessing indicator; not official pipeline evidence,378,1200000,0.000315,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_punctuation_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,1183580,1200000,0.9863166666666666,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_punctuation_normalization_indicator,aggregate Unicode/preprocessing indicator; not official pipeline evidence,1847,1200000,0.0015391666666666668,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,EN_url,aggregate Unicode/preprocessing indicator; not official pipeline evidence,48,1200000,4e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_NFKC_change,aggregate Unicode/preprocessing indicator; not official pipeline evidence,679,1200000,0.0005658333333333333,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_bracket_placeholder,aggregate Unicode/preprocessing indicator; not official pipeline evidence,53,1200000,4.4166666666666665e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_digit_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,127127,1200000,0.10593916666666667,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_email,aggregate Unicode/preprocessing indicator; not official pipeline evidence,90,1200000,7.5e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_emoji_symbol_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,480,1200000,0.0004,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_jamo_or_decomposed,aggregate Unicode/preprocessing indicator; not official pipeline evidence,140,1200000,0.00011666666666666667,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_latin_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,101667,1200000,0.0847225,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_markup,aggregate Unicode/preprocessing indicator; not official pipeline evidence,20,1200000,1.6666666666666667e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_non_NFC,aggregate Unicode/preprocessing indicator; not official pipeline evidence,11,1200000,9.166666666666666e-06,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_phone,aggregate Unicode/preprocessing indicator; not official pipeline evidence,367,1200000,0.00030583333333333336,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_punctuation_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,1178056,1200000,0.9817133333333333,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_punctuation_normalization_indicator,aggregate Unicode/preprocessing indicator; not official pipeline evidence,160,1200000,0.00013333333333333334,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_replacement,aggregate Unicode/preprocessing indicator; not official pipeline evidence,4,1200000,3.3333333333333333e-06,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_url,aggregate Unicode/preprocessing indicator; not official pipeline evidence,49,1200000,4.0833333333333334e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,TRAIN_KO_TO_EN,ko + en,KO_zero_width,aggregate Unicode/preprocessing indicator; not official pipeline evidence,5,1200000,4.166666666666667e-06,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,missing_KO,KO is null,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,missing_EN,EN is null,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,empty_KO,KO empty or whitespace,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,empty_EN,EN empty or whitespace,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,language_mismatch,KO Hangul or EN Latin dominance below 0.5,92,150038,0.0006131779949079566,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,high_digit_ratio_KO,KO digit ratio >0.20,337,150038,0.002246097655260667,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,high_digit_ratio_EN,EN digit ratio >0.20,21,150038,0.00013996454231594662,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,high_punctuation_ratio_KO,KO punctuation ratio >0.20,21,150038,0.00013996454231594662,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,high_punctuation_ratio_EN,EN punctuation ratio >0.20,2,150038,1.3329956411042535e-05,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,extreme_codepoint_length_ratio,KO/EN codepoint ratio <0.20 or >5.00,19,150038,0.00012663458590490408,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,extreme_byte_length_ratio,KO/EN byte ratio <0.20 or >5.00,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,duplicate_candidate_pair,salted within-run KO+EN hash repeated,15248,150038,0.10162758767778829,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,one_to_many_indicator,distinct KO hashes linked to multiple EN hashes,327,150038,0.0021794478732054547,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,many_to_one_indicator,distinct EN hashes linked to multiple KO hashes,1211,150038,0.008071288606886256,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,unobserved_direction,direction not directly observed,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,suspiciously_short_KO,KO <2 codepoints,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,suspiciously_short_EN,EN <2 codepoints,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,suspiciously_long_KO,KO >1000 codepoints,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,suspiciously_long_EN,EN >1000 codepoints,0,150038,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_NFKC_change,aggregate Unicode/preprocessing indicator; not official pipeline evidence,45,150038,0.0002999240192484571,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_digit_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,14845,150038,0.09894160146096322,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_email,aggregate Unicode/preprocessing indicator; not official pipeline evidence,2,150038,1.3329956411042535e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_emoji_symbol_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,223,150038,0.0014862901398312429,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_latin_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,150038,150038,1.0,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_phone,aggregate Unicode/preprocessing indicator; not official pipeline evidence,18,150038,0.00011996960769938283,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_punctuation_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,150027,150038,0.9999266852397393,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_url,aggregate Unicode/preprocessing indicator; not official pipeline evidence,2,150038,1.3329956411042535e-05,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,EN_zero_width,aggregate Unicode/preprocessing indicator; not official pipeline evidence,41,150038,0.000273264106426372,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,KO_NFKC_change,aggregate Unicode/preprocessing indicator; not official pipeline evidence,95,150038,0.0006331729295245205,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,KO_digit_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,17287,150038,0.11521747823884616,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,KO_emoji_symbol_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,238,150038,0.0015862648129140618,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,KO_jamo_or_decomposed,aggregate Unicode/preprocessing indicator; not official pipeline evidence,19,150038,0.00012663458590490408,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
LOCAL_DIR_025,VALID_EN_TO_KO,ko + en,KO_latin_mixing,aggregate Unicode/preprocessing indicator; not official pipeline evidence,18324,150038,0.12212906063797171,LOCAL_OBSERVED_PREPROCESSING_INDICATOR / NOT DOCUMENTED_AS_OFFICIAL_PREPROCESSING
