relative_path,sha256,format,logical_corpus,direction,split,canonical_ingest_role,alias_status,alias_of,record_count
"026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/원천데이터/TS1/기술과학분야_한영_train_set.json",b08ea5e620cc25d23e4cd263d0146e64f1673de04d1d865c082ff89938b97880,JSON,026,KO_TO_EN,TRAIN,DUPLICATE_PHYSICAL_COPY_SKIP,BYTE_IDENTICAL_ALIAS,"026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json",
"026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/기술과학분야_한영_valid_set.json",7e4adc920654a3321539f214ae082e273d6a38abfe59c5a2f9282208a3a41863,JSON,026,KO_TO_EN,VALIDATION,026_KO_TO_EN_VALIDATION,CANONICAL,,150018
"026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1/기술과학분야_한영_valid_set.json",7e4adc920654a3321539f214ae082e273d6a38abfe59c5a2f9282208a3a41863,JSON,026,KO_TO_EN,VALIDATION,DUPLICATE_PHYSICAL_COPY_SKIP,BYTE_IDENTICAL_ALIAS,"026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/기술과학분야_한영_valid_set.json",
"한국어-영어 번역(병렬) 말뭉치/1_구어체(1).xlsx",0fd712b2d62c054bed364fd41af59019a3cc6c05093d0541f538029996b240a8,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_1_구어체(1),CANONICAL,,200000
"한국어-영어 번역(병렬) 말뭉치/1_구어체(2).xlsx",f673f1c8fb73bad83e9ba097a45e47883f94d009d51ad42e636ce32c67d13219,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_1_구어체(2),CANONICAL,,200000
"한국어-영어 번역(병렬) 말뭉치/2_대화체.xlsx",b98b105d8f5efd20d6a1a6a69071d8b13ddc337c817c17f78100b1b793d20dd1,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_2_대화체,CANONICAL,,100000
"한국어-영어 번역(병렬) 말뭉치/3_문어체_뉴스(1)/3_문어체_뉴스(1)_200226.xlsx",a4de4cb3a40831cf673be39a35b64945e1ea0838eca143b70b12331f2e0ce365,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_3_문어체_뉴스(1)_200226,CANONICAL,,200011
"한국어-영어 번역(병렬) 말뭉치/3_문어체_뉴스(2).xlsx",b1ff2e1fb6c9b10a2d90e0b205963e79215858eff45657be70004bfe816118d1,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_3_문어체_뉴스(2),CANONICAL,,200541
"한국어-영어 번역(병렬) 말뭉치/3_문어체_뉴스(3).xlsx",1deaa6e2cbe1168083de2401c08e283ccf070118dc3842f4832633d95b91b829,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_3_문어체_뉴스(3),CANONICAL,,200835
"한국어-영어 번역(병렬) 말뭉치/3_문어체_뉴스(4).xlsx",56434ff93133e9349d1ed4a93ef557907c166fe5baf2b5545f7085000f578cf2,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_3_문어체_뉴스(4),CANONICAL,,200000
"한국어-영어 번역(병렬) 말뭉치/4_문어체_한국문화.xlsx",a0f5f64b99f644ce634661f8b8c478202adea50d6be147cd3ee2e18e3eb44035,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_4_문어체_한국문화,CANONICAL,,100646
"한국어-영어 번역(병렬) 말뭉치/5_문어체_조례.xlsx",063259a9c136d6206c828c22ab06d66f07afb8d9af7a74a6fa3f2274983145ca,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_5_문어체_조례,CANONICAL,,100298
"한국어-영어 번역(병렬) 말뭉치/6_문어체_지자체웹사이트.xlsx",322da04a7912ca24d7e81b9a0906c739a43660e25320584f0a3793c18d20c995,XLSX,LEGACY,UNKNOWN,UNKNOWN,LEGACY_6_문어체_지자체웹사이트,CANONICAL,,100087
